ALKİM ALKALİ KİMYA A.Ş.,"['ALKIM', 'ALKİM ALKALİ KİMYA']"
ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,"['ALKA', 'ALKİM KAĞIT']"
ALNUS YATIRIM MENKUL DEĞERLER A.Ş.,"['ALNU', 'ANC', 'ALNUS YATIRIM']"
ALTERNATİF FİNANSAL KİRALAMA A.Ş.,"['ALFIN', 'ALTERNATİF FİNANSAL KİRALAMA', 'ALTERNATİF LEASE']"
ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,"['AYCES', 'ALTIN YUNUS']"
ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,"['ALTNY', 'ALTINAY SAVUNMA TEKNOLOJİLERİ', 'ALTINAY']"
ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,"['ALKLC', 'ALTINKILIÇ']"
ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,"['ALMAD', 'ALTINYAĞ MADENCİLİK']"
ALVES KABLO SANAYİ VE TİCARET A.Ş.,"['ALVES', 'ALVES KABLO']"
ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,"['ANSGR', 'ANADOLU SİGORTA']"
ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,"['AEFES', 'ANADOLU EFES']"
ANADOLU HAYAT EMEKLİLİK A.Ş.,"['ANHYT', 'ANADOLU HAYAT EMEKLİLİK', 'ANADOLU HAYAT']"
ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,"['ASUZU', 'ANADOLU ISUZU', 'ISUZU']"
ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,"['ANGEN', 'ANATOLIA GENEWORKS']"
ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,"['ANELE', 'ANEL ELEKTRIK']"
ARÇELİK A.Ş.,"['ARCLK', 'ARÇELİK']"
ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,"['ARDYZ', 'ARD GRUP BİLİŞİM', 'ARD BİLİŞİM TEKNOLOJİLERİ']"
